tds,turbidity,ph,quality_label
883.31,16.48,5.1,Poor
1285.92,7.46,8.3,Acceptable
543.25,3.44,7.15,Good
138.18,0.4,7.4,Excellent
1205.57,43.08,4.95,Acceptable
617.55,1.25,6.49,Acceptable
481.55,0.56,6.19,Good
688.78,22.83,9.47,Poor
239.74,0.98,7.49,Excellent
228.89,0.51,7.48,Excellent
642.84,3.02,7.2,Good
850.59,3.76,7.08,Good
761.94,2.98,6.02,Acceptable
679.47,1.39,6.27,Acceptable
274.34,0.1,7.16,Excellent
550.54,0.15,7.64,Good
388.14,5.28,7.0,Acceptable
120.67,0.55,7.21,Excellent
362.13,0.1,7.45,Excellent
553.1,1.05,8.01,Good
573.21,1.14,6.7,Good
450.56,1.05,6.3,Excellent
750.3,50.0,5.3,Poor
582.53,0.54,7.11,Good
782.82,7.26,5.67,Acceptable
446.28,0.1,6.91,Good
828.69,9.6,6.78,Acceptable
816.04,17.26,5.84,Poor
168.23,0.29,7.4,Excellent
154.62,0.1,7.44,Excellent
885.05,20.34,5.02,Poor
758.66,3.0,8.54,Acceptable
265.57,1.63,7.29,Excellent
711.0,16.16,7.7,Acceptable
690.14,0.91,5.41,Acceptable
157.15,1.13,7.24,Excellent
842.64,1.02,6.59,Good
379.89,0.19,7.46,Excellent
226.95,0.29,7.07,Excellent
236.52,0.11,7.16,Excellent
618.18,0.51,7.06,Good
282.0,0.1,7.13,Excellent
190.49,1.89,7.2,Excellent
412.92,0.77,6.93,Good
461.36,1.65,7.11,Good
944.28,11.16,5.61,Poor
523.08,0.28,6.79,Good
723.3,0.34,7.26,Good
1003.03,1.0,6.74,Acceptable
487.01,9.91,7.07,Good
397.56,1.73,7.61,Good
1426.29,24.85,9.9,Poor
516.36,7.29,7.59,Good
783.41,6.3,5.61,Acceptable
407.31,0.36,6.89,Good
294.71,0.9,6.98,Excellent
1281.02,10.16,9.29,Poor
892.48,4.7,8.68,Poor
373.56,7.3,6.31,Acceptable
335.88,3.42,7.1,Good
356.42,0.85,6.89,Good
1406.38,28.61,9.88,Poor
540.42,1.48,7.01,Good
320.91,3.49,7.39,Good
476.49,0.16,6.4,Good
284.86,1.86,6.09,Good
520.82,0.1,7.31,Excellent
312.67,0.22,6.76,Good
454.38,1.98,6.51,Good
511.72,3.73,7.21,Good
1173.57,38.79,9.26,Poor
1051.74,2.99,7.19,Good
832.73,2.28,8.05,Good
697.38,0.1,7.56,Good
657.42,39.81,5.17,Poor
535.57,0.24,7.2,Excellent
1394.77,3.64,6.1,Acceptable
733.18,3.36,7.34,Good
549.93,8.87,7.21,Acceptable
483.99,0.43,6.81,Good
272.87,0.23,7.26,Excellent
595.99,19.27,7.34,Good
623.08,2.47,6.91,Good
413.89,3.54,6.7,Good
300.43,0.22,7.5,Excellent
590.64,5.89,6.77,Good
222.4,0.33,7.09,Excellent
789.42,16.71,4.82,Poor
918.46,16.79,5.71,Poor
602.48,8.33,6.75,Acceptable
625.46,0.1,8.05,Good
544.27,0.66,7.34,Good
258.02,0.1,7.14,Excellent
195.28,0.63,7.31,Excellent
466.1,0.64,7.67,Good
232.91,0.11,7.4,Excellent
1073.52,29.37,4.3,Poor
769.41,0.81,8.04,Good
482.73,0.8,7.35,Excellent
1488.43,2.25,9.25,Acceptable
832.0,5.02,7.85,Acceptable
366.15,0.3,6.32,Good
1599.85,0.15,8.78,Acceptable
592.9,2.45,7.0,Good
574.89,2.35,7.42,Good
507.97,2.22,6.5,Good
1000.18,3.7,9.36,Acceptable
187.29,0.4,7.07,Excellent
566.19,1.75,7.22,Good
845.09,0.33,6.01,Good
266.4,0.33,7.1,Excellent
168.92,1.03,7.24,Excellent
1403.88,9.17,6.04,Acceptable
957.86,8.8,5.48,Poor
221.85,0.17,7.25,Excellent
727.97,5.69,5.32,Acceptable
865.59,2.32,8.04,Good
383.03,1.22,7.76,Good
860.36,4.12,5.37,Acceptable
466.06,0.75,7.09,Excellent
143.54,0.1,7.43,Good
802.06,10.85,5.96,Poor
1193.26,8.97,9.52,Poor
929.49,2.94,6.8,Acceptable
195.0,0.91,7.01,Excellent
504.5,1.36,7.27,Good
627.54,2.35,5.67,Acceptable
656.59,8.3,7.2,Good
519.46,2.15,6.64,Good
232.95,0.64,7.35,Excellent
134.24,0.1,6.96,Excellent
1010.0,0.63,7.62,Good
865.79,3.23,7.55,Acceptable
347.99,1.94,7.03,Good
816.62,7.85,6.57,Acceptable
982.06,5.97,6.59,Acceptable
396.27,4.74,6.57,Good
496.38,0.47,6.53,Good
478.31,0.36,7.22,Excellent
855.25,2.59,5.14,Acceptable
285.87,0.25,7.22,Excellent
292.19,1.41,7.05,Excellent
470.5,0.12,7.89,Good
226.71,0.1,7.05,Excellent
594.66,0.36,5.58,Good
316.09,1.79,7.94,Good
432.63,2.29,6.7,Good
146.94,0.1,7.2,Excellent
366.06,2.69,7.54,Good
341.1,1.41,7.15,Good
301.31,0.82,7.32,Excellent
627.32,4.21,6.79,Acceptable
1831.56,14.97,9.06,Poor
970.5,32.52,5.59,Poor
523.2,9.79,7.46,Good
447.48,1.71,7.07,Good
624.88,18.81,5.83,Poor
920.59,6.9,6.81,Acceptable
178.03,0.53,7.11,Excellent
1015.57,4.45,9.57,Poor
169.71,0.24,7.13,Excellent
1042.32,0.74,7.94,Good
319.69,0.1,7.14,Excellent
162.7,0.4,7.1,Excellent
478.48,7.14,6.72,Good
344.77,0.4,6.79,Acceptable
262.13,0.32,7.19,Excellent
827.38,0.78,6.54,Good
1411.38,9.27,5.99,Poor
452.21,0.99,6.9,Good
831.42,8.3,9.69,Acceptable
200.35,0.1,7.2,Excellent
513.81,0.6,6.67,Good
463.74,0.96,6.96,Good
453.39,2.35,7.08,Good
173.61,0.67,7.42,Excellent
878.16,3.47,8.46,Good
304.95,0.16,6.93,Good
575.4,0.23,6.99,Good
692.57,3.38,7.82,Good
247.87,5.88,7.38,Good
741.85,31.52,10.1,Acceptable
240.53,0.22,7.31,Excellent
522.19,17.32,6.96,Acceptable
610.26,5.27,7.04,Good
472.84,19.2,5.17,Acceptable
411.26,4.48,6.34,Poor
489.96,2.45,6.89,Good
718.57,0.5,5.48,Acceptable
1001.54,0.23,5.81,Acceptable
456.41,3.69,6.68,Good
775.95,0.1,7.23,Good
883.67,13.2,7.95,Acceptable
933.42,0.38,7.29,Excellent
817.91,18.15,7.19,Good
571.25,0.34,7.55,Good
422.01,1.49,7.07,Good
235.57,0.35,6.98,Good
499.13,0.16,6.79,Good
520.61,1.53,6.57,Good
931.94,31.45,9.6,Poor
523.03,4.0,7.12,Good
1036.97,1.09,6.82,Acceptable
487.9,0.2,7.06,Excellent
407.73,3.26,6.82,Good
1010.38,47.87,5.54,Poor
204.1,0.23,7.08,Excellent
441.74,1.31,7.26,Acceptable
1647.8,1.76,9.66,Acceptable
628.79,8.56,7.77,Acceptable
539.41,9.07,7.32,Good
846.27,9.89,9.21,Acceptable
355.54,0.21,6.61,Good
693.63,2.19,7.86,Good
268.1,0.44,7.46,Excellent
205.28,0.1,7.15,Excellent
651.51,18.32,6.91,Acceptable
960.23,2.72,7.28,Good
137.79,0.48,7.54,Excellent
453.34,1.09,7.3,Good
651.46,0.1,6.98,Good
648.49,7.0,8.37,Acceptable
255.5,1.47,6.66,Good
732.76,5.92,6.65,Acceptable
721.93,5.33,5.55,Acceptable
453.11,1.41,6.23,Good
320.93,0.48,7.3,Excellent
346.3,6.2,7.14,Good
219.83,0.18,6.74,Excellent
296.46,4.24,7.18,Good
259.27,0.6,7.33,Excellent
438.31,4.01,6.67,Acceptable
475.63,1.72,6.72,Good
538.55,0.3,7.78,Good
795.65,3.99,6.77,Good
1042.56,40.0,8.55,Poor
464.17,0.34,6.05,Good
280.25,0.1,7.01,Excellent
419.53,4.58,6.81,Good
563.02,0.1,6.61,Good
283.42,1.72,7.03,Excellent
141.7,1.38,7.17,Excellent
1489.98,11.64,9.04,Poor
1018.38,31.49,10.45,Poor
460.07,2.78,7.05,Good
939.75,8.37,5.51,Poor
563.62,7.29,7.0,Good
1279.28,12.11,9.26,Poor
474.61,1.28,6.25,Good
864.8,3.0,7.92,Good
693.6,2.77,6.32,Acceptable
485.39,0.65,7.26,Excellent
502.23,6.32,6.95,Good
370.26,1.14,7.72,Good
542.33,0.1,6.67,Good
170.8,0.17,7.17,Excellent
156.61,0.14,7.37,Excellent
945.0,12.62,7.56,Acceptable
324.96,5.33,6.27,Acceptable
778.9,1.91,6.33,Acceptable
478.25,1.21,7.79,Good
320.78,8.36,7.49,Good
1000.11,7.13,9.83,Acceptable
640.4,7.36,7.33,Good
924.84,4.2,8.57,Acceptable
721.21,13.47,6.29,Acceptable
514.36,1.24,6.8,Good
898.47,5.49,6.78,Good
572.12,0.15,8.21,Good
663.1,7.61,7.16,Acceptable
876.19,11.76,6.57,Acceptable
450.32,4.36,6.5,Good
837.41,7.63,7.29,Acceptable
254.14,0.25,7.37,Excellent
355.44,0.51,6.9,Good
212.01,1.01,7.19,Excellent
1450.43,15.87,8.95,Poor
784.49,1.67,6.3,Acceptable
590.51,3.33,5.64,Acceptable
176.58,1.33,7.46,Excellent
207.19,0.39,7.26,Excellent
293.59,0.95,7.35,Excellent
264.54,1.02,7.1,Excellent
223.54,0.29,7.53,Excellent
155.7,0.63,7.45,Excellent
460.12,1.5,6.68,Good
360.92,2.45,7.14,Good
601.34,17.91,7.11,Good
1437.56,50.0,9.22,Poor
541.76,0.1,7.22,Excellent
516.7,1.86,7.73,Good
428.69,0.26,7.12,Excellent
1459.22,14.37,10.16,Poor
569.12,1.13,7.06,Good
604.35,2.18,7.45,Good
1249.62,40.96,8.95,Poor
448.1,2.7,7.05,Good
493.72,1.29,6.83,Good
223.27,0.1,6.99,Excellent
1284.19,27.13,9.68,Poor
237.25,0.47,7.34,Excellent
228.61,0.15,7.34,Excellent
576.53,7.45,6.93,Good
178.32,0.41,7.08,Excellent
1352.33,8.5,8.97,Acceptable
1014.88,24.89,9.64,Poor
429.52,0.84,7.3,Excellent
502.79,0.56,6.81,Good
1029.84,8.13,9.88,Poor
267.77,0.16,7.32,Excellent
140.77,0.1,7.38,Excellent
503.91,0.94,7.16,Good
1676.42,6.62,5.97,Poor
1038.48,7.02,5.6,Poor
506.47,3.34,7.75,Good
219.23,1.22,7.18,Excellent
1361.87,1.88,9.98,Acceptable
485.85,3.86,7.63,Good
222.44,0.1,7.24,Excellent
600.97,4.96,6.93,Acceptable
1335.76,10.2,6.0,Poor
425.07,0.95,7.01,Excellent
405.15,3.37,7.68,Good
246.11,0.28,7.19,Excellent
408.44,0.1,6.45,Good
829.25,0.99,5.49,Acceptable
369.77,0.73,7.42,Excellent
745.52,19.35,8.65,Acceptable
289.07,7.75,7.2,Good
557.09,2.61,7.48,Good
818.37,3.65,6.19,Good
222.69,2.82,7.28,Excellent
195.23,1.28,7.24,Excellent
156.96,0.3,7.19,Excellent
161.12,0.1,6.99,Excellent
157.04,0.6,7.39,Good
207.85,0.2,7.62,Excellent
869.77,6.58,6.07,Poor
522.51,1.27,7.49,Good
1405.25,17.25,6.22,Poor
201.01,0.93,7.27,Good
415.67,1.06,6.2,Good
896.42,4.96,6.24,Acceptable
1028.14,10.18,6.22,Poor
542.49,4.87,7.2,Good
153.6,0.62,7.27,Excellent
675.09,4.76,8.02,Acceptable
786.39,8.12,6.41,Acceptable
112.62,0.43,6.99,Excellent
402.89,1.36,7.34,Good
446.68,1.94,6.72,Good
179.93,0.1,7.18,Excellent
954.78,11.53,9.81,Poor
648.98,0.74,7.25,Good
683.18,9.46,6.11,Acceptable
745.13,3.34,6.54,Good
211.94,1.71,7.28,Excellent
1115.03,0.78,5.03,Acceptable
515.6,0.48,7.07,Excellent
547.58,1.31,7.39,Good
489.83,2.13,6.37,Good
179.63,0.22,7.26,Excellent
345.53,1.27,6.74,Good
1018.4,8.15,8.57,Acceptable
725.94,2.58,7.46,Good
1438.21,11.5,10.37,Poor
232.93,0.62,7.31,Excellent
561.21,2.17,6.59,Good
951.74,3.7,5.12,Acceptable
147.25,0.47,6.95,Good
228.6,0.12,7.11,Good
539.53,2.19,7.86,Good
808.92,0.26,8.15,Acceptable
278.45,0.12,7.2,Excellent
726.24,0.1,7.14,Good
1264.68,8.0,5.7,Poor
149.55,0.43,7.23,Excellent
1173.52,40.13,9.27,Poor
428.36,1.13,7.0,Good
440.21,7.85,6.9,Good
1671.01,6.01,8.48,Acceptable
244.5,0.98,7.2,Excellent
461.93,1.27,6.73,Good
666.77,0.85,8.15,Good
1309.95,12.52,5.57,Poor
172.99,0.18,7.33,Excellent
1350.87,20.99,8.98,Poor
519.19,8.46,10.3,Acceptable
951.48,1.23,7.54,Acceptable
543.09,0.26,7.22,Excellent
394.59,2.46,7.26,Excellent
566.84,1.64,6.55,Good
487.96,7.22,7.08,Acceptable
179.62,0.27,7.11,Excellent
552.18,1.81,7.4,Good
393.79,1.67,7.02,Acceptable
342.29,1.83,7.15,Good
199.94,0.1,7.31,Excellent
747.57,18.72,5.91,Poor
534.84,0.96,7.06,Excellent
1770.36,50.0,5.6,Poor
424.27,0.78,6.72,Good
486.98,0.1,6.83,Good
870.64,7.63,9.68,Acceptable
1097.65,2.72,6.04,Acceptable
1178.61,15.74,5.8,Acceptable
634.29,0.23,7.62,Good
956.78,12.72,5.94,Poor
850.78,0.66,7.41,Good
566.52,0.42,7.18,Excellent
785.79,3.19,7.15,Good
369.78,13.0,6.4,Poor
1048.96,1.02,8.74,Acceptable
150.4,1.12,7.37,Excellent
1195.13,2.1,9.4,Acceptable
247.02,1.0,7.11,Excellent
1547.81,14.02,10.26,Poor
328.5,1.3,6.98,Good
1586.09,2.44,9.48,Acceptable
588.35,4.4,6.27,Acceptable
851.42,4.22,7.27,Good
197.74,0.46,7.06,Excellent
1241.6,6.18,5.5,Poor
805.36,11.18,5.97,Poor
197.31,0.79,7.12,Excellent
118.82,0.1,7.14,Excellent
436.46,0.1,6.95,Good
650.16,4.94,6.87,Acceptable
1371.77,16.65,5.36,Poor
477.8,1.63,6.84,Good
276.67,0.24,7.31,Excellent
252.6,0.1,7.2,Good
1096.45,3.56,9.54,Acceptable
371.03,1.44,6.67,Good
1414.83,22.73,4.89,Poor
356.62,0.99,6.57,Acceptable
448.78,2.62,7.07,Good
494.31,4.9,6.71,Good
514.42,1.86,7.46,Acceptable
394.79,0.67,6.83,Good
708.71,3.69,6.92,Good
667.47,1.47,7.13,Good
731.85,2.89,5.56,Acceptable
524.91,0.16,7.52,Acceptable
618.35,0.99,6.56,Good
711.63,0.1,7.46,Good
527.67,0.67,7.19,Excellent
633.43,0.53,6.59,Good
212.02,0.1,7.08,Excellent
411.96,3.28,9.72,Acceptable
206.43,0.21,7.32,Excellent
407.88,2.58,6.84,Good
687.12,3.21,7.21,Acceptable
472.79,1.72,7.19,Good
397.82,0.64,7.17,Good
1285.34,9.55,9.7,Poor
605.14,0.35,7.15,Good
135.02,1.38,7.06,Good
668.39,0.1,7.58,Excellent
978.61,21.43,4.94,Poor
379.38,0.74,6.85,Acceptable
1427.85,50.0,5.77,Poor
397.88,0.12,6.83,Good
190.09,0.35,7.2,Excellent
409.57,2.87,7.01,Acceptable
463.7,0.87,7.07,Excellent
1972.01,1.04,10.06,Acceptable
569.89,0.36,6.31,Good
396.22,0.6,6.95,Excellent
280.79,5.43,6.87,Good
479.75,2.11,7.28,Good
682.95,2.2,6.56,Good
1578.03,44.67,5.56,Poor
1208.39,2.19,6.45,Good
500.82,0.11,7.77,Acceptable
696.4,2.23,6.21,Acceptable
586.14,0.97,6.79,Good
1036.79,3.42,7.05,Good
212.23,0.39,7.13,Excellent
430.91,0.12,6.97,Good
659.56,4.25,6.51,Acceptable
115.56,0.27,7.29,Excellent
531.95,1.22,7.07,Good
203.37,0.43,7.45,Excellent
664.85,1.88,8.37,Good
343.85,0.14,6.54,Good
582.37,1.32,6.83,Good
178.31,0.97,7.06,Good
361.12,6.13,7.13,Good
218.69,0.89,7.0,Excellent
1283.21,9.9,9.52,Poor
478.45,0.21,7.36,Excellent
152.47,0.54,7.33,Excellent
535.48,5.37,7.76,Good
304.86,0.78,7.13,Excellent
463.02,0.95,6.9,Acceptable
553.5,4.01,7.63,Good
203.94,1.06,6.93,Good
356.22,0.4,7.29,Excellent
1098.12,11.59,5.94,Poor
420.99,0.82,6.99,Good
690.21,2.56,6.97,Good
381.59,0.29,7.13,Excellent
495.17,4.37,7.46,Good
167.67,1.17,7.42,Excellent
1421.54,1.39,8.98,Acceptable
534.44,3.43,6.75,Good
1453.76,3.38,9.88,Good
1467.72,14.68,8.69,Poor
1066.0,10.49,6.87,Acceptable
160.5,0.1,7.28,Excellent
223.12,1.3,7.28,Excellent
273.63,3.02,7.36,Excellent
445.01,0.84,7.3,Excellent
478.33,2.37,7.14,Good
438.63,0.1,6.49,Good
709.64,6.67,7.27,Good
142.12,1.84,7.37,Excellent
388.68,1.09,7.4,Good
984.72,4.48,5.29,Poor
604.34,3.39,8.99,Acceptable
517.45,4.07,7.08,Good
497.82,7.1,7.63,Good
202.93,0.1,7.34,Excellent
504.24,0.1,7.49,Excellent
168.21,0.1,7.26,Excellent
509.41,0.22,6.69,Good
356.14,0.71,7.75,Good
249.75,1.46,7.42,Excellent
458.99,3.71,7.11,Good
453.57,3.14,6.94,Good
536.63,0.65,6.75,Good
690.18,1.02,6.13,Acceptable
454.42,0.1,6.16,Good
458.95,0.45,6.24,Good
256.42,0.45,7.58,Good
630.04,3.29,6.76,Good
460.48,2.3,7.01,Good
480.98,1.64,7.33,Good
233.83,0.25,7.3,Excellent
494.63,1.67,6.97,Good
439.66,4.28,6.87,Good
152.38,0.33,7.11,Excellent
1351.37,6.48,5.86,Poor
606.29,7.06,6.96,Acceptable
776.97,1.71,5.34,Acceptable
215.38,0.2,7.34,Excellent
287.94,0.18,6.98,Excellent
329.98,1.66,7.18,Good
1019.04,17.63,9.1,Poor
782.12,4.83,7.03,Good
754.12,22.28,8.73,Acceptable
433.56,0.58,7.14,Excellent
110.68,0.24,7.25,Excellent
340.62,0.32,6.93,Good
64.76,0.44,7.03,Excellent
215.85,0.29,7.52,Excellent
437.6,0.15,7.07,Excellent
958.79,25.78,7.38,Acceptable
1091.22,8.73,5.97,Poor
251.78,0.41,7.44,Excellent
391.75,1.6,7.62,Good
155.0,0.69,6.87,Excellent
1167.91,10.78,8.92,Poor
778.97,9.73,7.79,Acceptable
431.16,0.67,6.84,Excellent
482.27,0.99,6.62,Good
1287.43,42.93,5.06,Poor
527.7,1.59,6.4,Good
292.37,0.12,7.45,Good
174.74,0.84,7.06,Excellent
1233.05,23.33,9.72,Poor
523.5,1.88,6.82,Acceptable
402.8,2.89,6.31,Good
1293.62,13.87,10.24,Poor
975.4,6.21,7.54,Acceptable
137.01,1.21,7.31,Excellent
110.79,0.26,7.07,Excellent
682.99,0.58,5.96,Acceptable
484.41,1.27,6.33,Acceptable
204.2,1.87,7.55,Good
531.54,4.45,7.6,Good
167.34,0.48,6.94,Excellent
1506.01,7.72,4.47,Poor
593.87,1.03,7.08,Good
430.5,3.81,7.31,Good
650.72,6.03,7.02,Acceptable
831.05,29.83,6.86,Acceptable
215.3,0.19,7.42,Excellent
799.62,16.92,6.92,Acceptable
137.1,0.71,7.31,Excellent
474.39,4.58,6.31,Acceptable
372.2,1.91,6.81,Good
184.04,0.1,7.32,Excellent
169.33,0.33,7.41,Excellent
580.7,0.15,7.14,Excellent
1818.22,31.39,5.24,Poor
235.5,0.12,7.29,Excellent
1255.49,5.76,8.96,Acceptable
188.48,0.39,7.23,Excellent
288.01,0.11,7.69,Excellent
157.98,0.1,7.2,Excellent
179.13,0.13,7.13,Excellent
637.2,4.6,5.89,Acceptable
516.9,1.29,6.39,Good
524.23,0.5,6.56,Good
471.05,11.58,7.95,Acceptable
905.22,14.68,5.9,Poor
950.76,13.95,7.89,Acceptable
887.07,7.92,7.16,Good
515.59,0.84,6.23,Good
991.75,13.05,4.61,Poor
797.06,31.38,8.85,Acceptable
243.36,5.28,6.94,Good
299.38,1.96,7.0,Good
65.33,0.94,7.39,Excellent
486.47,8.93,9.27,Acceptable
386.14,1.47,7.41,Excellent
393.9,3.54,7.19,Good
565.07,12.85,6.94,Good
640.1,12.83,6.97,Acceptable
508.47,0.89,7.15,Excellent
813.83,1.15,6.37,Acceptable
473.02,0.49,6.93,Good
696.46,0.25,7.33,Good
492.5,0.25,6.55,Good
371.95,2.3,4.97,Acceptable
918.31,27.35,10.62,Poor
327.9,6.11,5.57,Acceptable
119.78,0.57,7.45,Excellent
366.32,3.23,7.93,Good
1419.64,6.64,5.46,Poor
543.31,0.87,6.81,Good
508.78,2.4,7.75,Good
666.17,4.07,7.84,Acceptable
814.28,7.25,6.93,Acceptable
87.83,0.31,7.22,Excellent
763.99,4.31,7.33,Good
330.15,4.31,9.41,Acceptable
124.77,0.1,7.13,Excellent
207.91,0.24,7.29,Excellent
853.23,12.65,6.97,Acceptable
680.64,3.45,6.97,Good
359.73,1.88,6.76,Good
164.11,0.1,7.01,Excellent
382.14,1.07,7.21,Good
231.83,0.1,7.13,Excellent
224.79,0.21,7.29,Excellent
592.13,2.02,7.13,Acceptable
465.67,0.62,7.09,Excellent
467.93,0.93,7.08,Excellent
64.35,0.49,7.02,Excellent
503.38,1.1,5.84,Acceptable
658.65,11.04,6.23,Acceptable
721.06,6.5,6.84,Acceptable
276.03,1.14,6.5,Good
961.96,2.39,6.64,Acceptable
827.57,1.87,7.66,Good
738.79,2.3,5.06,Acceptable
357.4,0.61,7.02,Excellent
183.22,0.71,7.43,Excellent
643.55,6.02,7.23,Good
181.66,0.24,7.33,Excellent
1483.76,0.88,10.13,Acceptable
126.93,0.11,7.42,Excellent
635.62,3.06,6.11,Acceptable
144.07,2.82,7.17,Excellent
1175.41,18.72,5.07,Poor
354.35,3.77,6.73,Good
50.0,0.16,7.21,Excellent
846.28,2.55,7.51,Good
446.21,7.02,6.58,Good
463.51,3.12,6.83,Good
711.04,13.87,7.38,Good
253.91,0.13,7.12,Excellent
935.95,3.43,6.71,Acceptable
144.21,0.58,7.27,Excellent
586.43,1.77,7.26,Good
408.67,6.69,7.8,Good
573.11,0.15,7.37,Excellent
115.57,0.79,7.27,Excellent
452.89,1.69,7.88,Excellent
144.39,0.21,6.99,Excellent
926.22,5.83,6.86,Good
107.36,0.19,7.58,Excellent
321.66,2.63,6.54,Good
539.74,0.1,6.56,Good
1119.82,2.97,9.49,Acceptable
203.41,1.55,7.31,Excellent
577.6,0.59,7.71,Good
1027.34,2.96,6.94,Acceptable
482.85,3.53,6.68,Good
388.3,2.51,7.4,Good
171.01,0.42,7.47,Excellent
1214.43,18.43,5.79,Poor
210.85,0.29,7.51,Excellent
318.29,0.97,7.19,Excellent
751.71,1.01,8.31,Good
359.76,2.12,7.48,Good
486.97,0.1,6.59,Good
898.75,10.45,6.79,Acceptable
323.43,1.12,6.76,Good
1635.17,6.69,10.24,Poor
204.14,1.11,7.38,Excellent
619.8,0.16,6.63,Good
788.59,1.61,7.17,Good
530.18,3.17,7.06,Excellent
438.94,5.36,7.49,Good
300.59,1.81,6.23,Good
355.33,1.35,6.42,Good
326.96,2.14,6.61,Good
511.45,1.25,6.88,Good
206.15,0.49,7.31,Excellent
554.78,6.65,6.78,Acceptable
200.14,0.91,7.13,Excellent
547.62,1.02,7.14,Good
478.6,1.75,7.14,Good
207.9,0.28,7.4,Excellent
210.61,0.77,7.0,Excellent
1236.92,12.79,5.41,Poor
294.17,0.23,7.05,Excellent
246.09,0.12,7.48,Excellent
490.33,2.72,7.0,Good
196.13,0.64,7.38,Excellent
992.4,0.69,7.67,Good
164.28,0.48,7.34,Excellent
768.46,0.62,7.7,Good
92.46,0.1,7.4,Excellent
1006.27,1.06,5.24,Acceptable
351.5,0.18,6.21,Good
528.05,3.8,7.53,Good
517.71,0.1,6.83,Good
444.18,1.43,6.36,Good
1320.96,4.45,9.08,Poor
330.21,0.66,6.72,Good
495.87,1.65,6.54,Good
464.12,0.21,7.37,Excellent
168.11,0.46,7.32,Good
215.09,0.16,7.39,Excellent
931.84,1.31,7.6,Acceptable
1054.76,1.26,10.2,Acceptable
1278.02,4.04,6.11,Acceptable
247.51,0.7,7.22,Excellent
905.02,6.49,10.0,Poor
683.74,14.64,7.73,Acceptable
432.26,0.15,7.15,Excellent
717.95,3.21,6.55,Good
218.59,0.55,7.31,Excellent
467.25,1.55,7.14,Good
131.94,0.1,7.27,Excellent
546.85,0.68,7.75,Good
222.86,1.34,7.44,Excellent
381.37,0.21,7.08,Excellent
885.96,0.26,7.68,Good
550.75,1.71,7.12,Good
292.66,0.26,6.51,Excellent
496.52,5.26,4.92,Acceptable
831.18,5.27,5.66,Acceptable
420.53,10.8,6.27,Acceptable
396.41,4.96,6.85,Good
616.97,2.05,7.33,Good
766.69,7.84,6.12,Acceptable
279.76,1.49,7.14,Excellent
197.21,0.24,7.2,Excellent
208.5,0.84,7.13,Excellent
657.25,8.9,6.44,Poor
345.28,0.74,6.88,Good
535.37,7.72,6.92,Good
752.39,13.74,4.88,Poor
310.41,6.52,7.52,Good
1239.98,4.7,5.2,Poor
582.14,2.94,7.15,Excellent
804.22,1.12,7.64,Good
686.0,0.61,6.08,Acceptable
1419.11,13.66,9.47,Poor
895.85,18.98,7.14,Good
272.58,0.35,7.39,Excellent
328.65,5.29,6.84,Good
175.3,0.1,7.04,Excellent
582.13,3.45,6.83,Good
1309.3,13.04,8.97,Poor
1037.22,6.54,9.51,Poor
445.8,0.78,6.71,Good
362.04,5.06,6.6,Good
1543.81,7.51,5.65,Poor
479.28,3.99,7.0,Good
1060.89,16.21,6.35,Poor
434.06,3.51,6.36,Good
311.59,1.14,6.82,Good
120.59,1.11,7.08,Excellent
500.52,1.97,6.79,Good
428.74,3.31,7.49,Good
245.8,0.6,7.05,Excellent
1444.84,10.38,5.49,Poor
419.26,1.94,7.24,Good
366.16,0.1,7.51,Good
94.56,0.57,7.16,Excellent
485.8,5.84,7.14,Good
187.81,0.72,7.57,Excellent
460.98,2.16,6.65,Good
148.69,1.19,6.95,Good
353.04,0.5,7.4,Excellent
828.63,7.53,7.4,Good
494.9,2.12,8.25,Good
507.14,4.46,7.24,Acceptable
222.95,0.27,7.6,Excellent
854.69,11.35,9.47,Poor
656.27,0.1,6.09,Good
194.65,1.2,7.48,Excellent
405.96,0.1,7.39,Excellent
74.52,0.11,7.14,Good
109.91,0.16,7.26,Excellent
262.71,0.1,7.17,Excellent
369.55,0.82,7.95,Acceptable
198.8,0.81,7.65,Excellent
367.21,0.12,7.16,Excellent
796.99,3.21,7.15,Good
936.96,9.07,5.73,Poor
420.9,0.82,6.71,Excellent
507.71,7.09,6.99,Good
805.38,11.91,5.41,Poor
395.74,6.26,7.18,Good
246.82,0.41,7.22,Excellent
805.55,1.49,8.1,Good
1433.11,3.18,5.87,Acceptable
377.15,3.03,5.85,Acceptable
1270.12,12.64,10.28,Poor
746.71,0.66,7.73,Good
621.64,0.6,6.85,Acceptable
1446.07,18.9,9.97,Poor
562.74,2.74,6.88,Good
211.61,0.2,7.23,Excellent
582.72,1.73,7.05,Good
372.78,1.95,6.83,Good
471.94,3.58,7.34,Acceptable
552.32,5.45,6.94,Good
625.38,3.81,7.99,Good
935.47,1.56,7.46,Good
619.48,4.05,6.17,Acceptable
270.31,0.24,7.28,Excellent
213.54,0.1,7.29,Excellent
738.75,7.12,7.15,Good
465.35,0.88,7.38,Excellent
172.29,0.69,7.32,Excellent
493.69,3.52,6.95,Good
361.31,1.84,6.56,Good
528.13,1.61,6.79,Good
405.43,0.23,6.82,Good
622.68,4.25,6.62,Acceptable
425.67,0.89,6.77,Good
1205.75,50.0,5.2,Poor
560.24,2.25,6.35,Good
359.86,0.93,7.53,Good
